,entryflow,exitflow,transferflow,weekday,daytype,timeid,hour,dayid
0,2,0,0,5,0,1,5,0
1,9,3,0,5,0,2,6,0
2,8,3,6,5,0,3,6,0
3,18,78,96,5,0,4,6,0
4,38,468,225,5,0,5,6,0
5,44,928,242,5,0,6,7,0
6,93,1386,582,5,0,7,7,0
7,136,1515,1035,5,0,8,7,0
8,180,1592,1618,5,0,9,7,0
9,694,1670,2333,5,0,10,8,0
10,700,1817,2481,5,0,11,8,0
11,515,2024,2923,5,0,12,8,0
12,336,2002,2637,5,0,13,8,0
13,578,1819,1669,5,0,14,9,0
14,1101,2116,1616,5,0,15,9,0
15,620,1980,1444,5,0,16,9,0
16,1449,2193,992,5,0,17,9,0
17,931,2245,1068,5,0,18,10,0
18,1922,1827,700,5,0,19,10,0
19,1882,1893,690,5,0,20,10,0
20,1752,1652,692,5,0,21,10,0
21,981,1908,607,5,0,22,11,0
22,1608,1610,622,5,0,23,11,0
23,1688,2040,574,5,0,24,11,0
24,1955,2071,541,5,0,25,11,0
25,2226,1847,659,5,0,26,12,0
26,1515,1839,569,5,0,27,12,0
27,1082,1644,587,5,0,28,12,0
28,1690,1667,702,5,0,29,12,0
29,1026,1507,795,5,0,30,13,0
30,2357,2294,845,5,0,31,13,0
31,1866,2191,963,5,0,32,13,0
32,1947,2193,883,5,0,33,13,0
33,1567,2158,819,5,0,34,14,0
34,1639,2188,868,5,0,35,14,0
35,2833,2429,752,5,0,36,14,0
36,1734,2531,849,5,0,37,14,0
37,2699,2443,791,5,0,38,15,0
38,2920,2425,863,5,0,39,15,0
39,2194,2255,934,5,0,40,15,0
40,2244,2258,868,5,0,41,15,0
41,3254,2191,843,5,0,42,16,0
42,2308,2189,1054,5,0,43,16,0
43,1768,2649,1093,5,0,44,16,0
44,2796,2605,1128,5,0,45,16,0
45,3054,2359,1294,5,0,46,17,0
46,2741,2467,1353,5,0,47,17,0
47,2209,2711,1546,5,0,48,17,0
48,2986,2877,2004,5,0,49,17,0
49,3148,3170,1969,5,0,50,18,0
50,3520,2967,2594,5,0,51,18,0
51,3253,3398,2992,5,0,52,18,0
52,2852,2878,2987,5,0,53,18,0
53,2454,2547,2597,5,0,54,19,0
54,2891,2422,2163,5,0,55,19,0
55,3239,2264,1630,5,0,56,19,0
56,3444,1887,1476,5,0,57,19,0
57,2048,1491,1233,5,0,58,20,0
58,1901,1238,1001,5,0,59,20,0
59,2293,1307,823,5,0,60,20,0
60,3678,1040,1049,5,0,61,20,0
61,2712,834,855,5,0,62,21,0
62,2706,656,903,5,0,63,21,0
63,2844,513,918,5,0,64,21,0
64,1787,481,843,5,0,65,21,0
65,2644,346,943,5,0,66,22,0
66,2486,385,689,5,0,67,22,0
67,1538,284,642,5,0,68,22,0
68,903,182,636,5,0,69,22,0
69,963,213,497,5,0,70,23,0
70,468,175,187,5,0,71,23,0
71,64,87,72,5,0,72,23,0
72,35,38,28,5,0,73,23,0
73,5,0,0,6,0,1,5,1
74,20,4,0,6,0,2,6,1
75,26,1,6,6,0,3,6,1
76,27,96,100,6,0,4,6,1
77,49,624,229,6,0,5,6,1
78,63,1318,286,6,0,6,7,1
79,84,1791,524,6,0,7,7,1
80,132,2227,524,6,0,8,7,1
81,163,2334,882,6,0,9,7,1
82,649,2145,1189,6,0,10,8,1
83,638,2046,1183,6,0,11,8,1
84,756,2107,1407,6,0,12,8,1
85,545,2604,1286,6,0,13,8,1
86,554,2327,1023,6,0,14,9,1
87,1224,2099,1143,6,0,15,9,1
88,818,1944,1099,6,0,16,9,1
89,2076,2045,1137,6,0,17,9,1
90,881,2055,1123,6,0,18,10,1
91,2211,2185,945,6,0,19,10,1
92,2301,2252,1040,6,0,20,10,1
93,2112,2203,1082,6,0,21,10,1
94,1321,1901,951,6,0,22,11,1
95,1902,1667,1093,6,0,23,11,1
96,2336,1664,911,6,0,24,11,1
97,2220,1557,962,6,0,25,11,1
98,2710,1560,1002,6,0,26,12,1
99,1573,1431,826,6,0,27,12,1
100,1229,1151,767,6,0,28,12,1
101,1280,1385,983,6,0,29,12,1
102,916,1524,918,6,0,30,13,1
